Contact_pair,HiChip1,HiChip2,Contact_group_HiChip
chr8_35590000to35600000andchr8_35670000to35680000,0.0,1.5,2TnG
chr10_93070000to93080000andchr10_93540000to93550000,0.0,1.5,2TnG
chr10_93070000to93080000andchr10_93160000to93170000,0.0,1.5,2TnG
chr8_72160000to72170000andchr8_72340000to72350000,0.0,1.5,2TnG
chr8_72270000to72280000andchr8_72340000to72350000,0.0,1.5,2TnG
chr8_81480000to81490000andchr8_81490000to81500000,0.0,1.5,2TnG
chr10_68200000to68210000andchr10_68230000to68240000,0.0,1.5,2TnG
chr8_81550000to81560000andchr8_81770000to81780000,0.0,1.5,2TnG
chr10_68140000to68150000andchr10_68240000to68250000,0.0,1.5,2TnG
chr10_68030000to68040000andchr10_68270000to68280000,0.0,1.5,2TnG
chr8_25010000to25020000andchr8_25040000to25050000,0.0,1.5,2TnG
chr8_11550000to11560000andchr8_11630000to11640000,0.0,1.5,2TnG
chr7_75600000to75610000andchr7_75650000to75660000,0.0,1.5,2TnG
chr7_75370000to75380000andchr7_75570000to75580000,0.0,1.5,2TnG
chr10_117860000to117870000andchr10_117940000to117950000,0.0,1.5,2TnG
chr10_117860000to117870000andchr10_117910000to117920000,0.0,1.5,2TnG
chr7_75370000to75380000andchr7_75680000to75690000,0.0,1.5,2TnG
chr10_117790000to117800000andchr10_117910000to117920000,0.0,1.5,2TnG
chr10_98630000to98640000andchr10_98780000to98790000,0.0,1.5,2TnG
chr7_75650000to75660000andchr7_75790000to75800000,0.0,1.5,2TnG
chr7_125480000to125490000andchr7_125500000to125510000,0.0,1.5,2TnG
chr7_104240000to104250000andchr7_104290000to104300000,0.0,1.5,2TnG
chr7_109950000to109960000andchr7_109980000to109990000,0.0,1.5,2TnG
chr10_96400000to96410000andchr10_96580000to96590000,0.0,1.5,2TnG
chr7_114080000to114090000andchr7_114270000to114280000,0.0,1.5,2TnG
chr10_68030000to68040000andchr10_68230000to68240000,0.0,1.5,2TnG
chr10_67530000to67540000andchr10_67580000to67590000,0.0,1.5,2TnG
chr10_18910000to18920000andchr10_18950000to18960000,0.0,1.5,2TnG
chr9_32920000to32930000andchr9_32960000to32970000,0.0,1.5,2TnG
chr9_32930000to32940000andchr9_33060000to33070000,0.0,1.5,2TnG
chr10_13000000to13010000andchr10_13960000to13970000,0.0,1.5,2TnG
chr9_61370000to61380000andchr9_61670000to61680000,0.0,1.5,2TnG
chr9_66880000to66890000andchr9_66980000to66990000,0.0,1.5,2TnG
chr9_88240000to88250000andchr9_88430000to88440000,0.0,1.5,2TnG
chr9_116210000to116220000andchr9_116330000to116340000,0.0,1.5,2TnG
chr9_96350000to96360000andchr9_96370000to96380000,0.0,1.5,2TnG
chr9_96350000to96360000andchr9_96400000to96410000,0.0,1.5,2TnG
chr10_18910000to18920000andchr10_19170000to19180000,0.0,1.5,2TnG
chr10_18960000to18970000andchr10_19160000to19170000,0.0,1.5,2TnG
chr8_126660000to126670000andchr8_126850000to126860000,0.0,1.5,2TnG
chr10_42890000to42900000andchr10_42990000to43000000,0.0,1.5,2TnG
chr10_42860000to42870000andchr10_42990000to43000000,0.0,1.5,2TnG
chr8_122930000to122940000andchr8_123030000to123040000,0.0,1.5,2TnG
chr10_40250000to40260000andchr10_40370000to40380000,0.0,1.5,2TnG
chr8_126580000to126590000andchr8_126840000to126850000,0.0,1.5,2TnG
chr10_19180000to19190000andchr10_19580000to19590000,0.0,1.5,2TnG
chr9_14780000to14790000andchr9_15000000to15010000,0.0,1.5,2TnG
chr9_32490000to32500000andchr9_32930000to32940000,0.0,1.5,2TnG
chr10_19060000to19070000andchr10_19180000to19190000,0.0,1.5,2TnG
chr10_19000000to19010000andchr10_19110000to19120000,0.0,1.5,2TnG
chr12_75660000to75670000andchr12_75730000to75740000,0.0,1.5,2TnG
chr12_69440000to69450000andchr12_69510000to69520000,0.0,1.5,2TnG
chr5_134180000to134190000andchr5_134230000to134240000,0.0,1.5,2TnG
chr11_118220000to118230000andchr11_118290000to118300000,0.0,1.5,2TnG
chr11_118150000to118160000andchr11_118290000to118300000,0.0,1.5,2TnG
chr6_31120000to31130000andchr6_31190000to31200000,0.0,1.5,2TnG
chr6_38530000to38540000andchr6_38550000to38560000,0.0,1.5,2TnG
chr6_48730000to48740000andchr6_48800000to48810000,0.0,1.5,2TnG
chr6_83410000to83420000andchr6_83500000to83510000,0.0,1.5,2TnG
chr6_98990000to99000000andchr6_99520000to99530000,0.0,1.5,2TnG
chr11_100820000to100830000andchr11_100890000to100900000,0.0,1.5,2TnG
chr4_135200000to135210000andchr4_135240000to135250000,0.0,1.5,2TnG
chr13_45850000to45860000andchr13_45920000to45930000,0.0,1.5,2TnG
chr13_43170000to43180000andchr13_43260000to43270000,0.0,1.5,2TnG
chr13_41370000to41380000andchr13_41480000to41490000,0.0,1.5,2TnG
chr4_101250000to101260000andchr4_101320000to101330000,0.0,1.5,2TnG
chr4_117180000to117190000andchr4_117210000to117220000,0.0,1.5,2TnG
chr4_132510000to132520000andchr4_132630000to132640000,0.0,1.5,2TnG
chr4_150540000to150550000andchr4_150590000to150600000,0.0,1.5,2TnG
chr5_62850000to62860000andchr5_62910000to62920000,0.0,1.5,2TnG
chr5_105680000to105690000andchr5_105710000to105720000,0.0,1.5,2TnG
chr5_113770000to113780000andchr5_113820000to113830000,0.0,1.5,2TnG
chr12_85370000to85380000andchr12_85450000to85460000,0.0,1.5,2TnG
chr11_98780000to98790000andchr11_98900000to98910000,0.0,1.5,2TnG
chr10_128490000to128500000andchr10_128540000to128550000,0.0,1.5,2TnG
chr6_142910000to142920000andchr6_142950000to142960000,0.0,1.5,2TnG
chr6_149140000to149150000andchr6_149190000to149200000,0.0,1.5,2TnG
chr11_4420000to4430000andchr11_4530000to4540000,0.0,1.5,2TnG
chr11_4340000to4350000andchr11_4490000to4500000,0.0,1.5,2TnG
chr11_4340000to4350000andchr11_4420000to4430000,0.0,1.5,2TnG
chr7_27470000to27480000andchr7_27500000to27510000,0.0,1.5,2TnG
chr10_128080000to128090000andchr10_128170000to128180000,0.0,1.5,2TnG
chr7_28790000to28800000andchr7_28980000to28990000,0.0,1.5,2TnG
chr10_127060000to127070000andchr10_127120000to127130000,0.0,1.5,2TnG
chr7_63990000to64000000andchr7_64010000to64020000,0.0,1.5,2TnG
chr10_122730000to122740000andchr10_122800000to122810000,0.0,1.5,2TnG
chr6_99540000to99550000andchr6_99640000to99650000,0.0,1.5,2TnG
chr11_83190000to83200000andchr11_83230000to83240000,0.0,1.5,2TnG
chr11_69750000to69760000andchr11_69920000to69930000,0.0,1.5,2TnG
chr6_115690000to115700000andchr6_115800000to115810000,0.0,1.5,2TnG
chr11_54520000to54530000andchr11_54800000to54810000,0.0,1.5,2TnG
chr11_54430000to54440000andchr11_54530000to54540000,0.0,1.5,2TnG
chr11_52000000to52010000andchr11_52070000to52080000,0.0,1.5,2TnG
chr11_51800000to51810000andchr11_52000000to52010000,0.0,1.5,2TnG
chr11_48770000to48780000andchr11_49090000to49100000,0.0,1.5,2TnG
chr11_46340000to46350000andchr11_46420000to46430000,0.0,1.5,2TnG
chr9_32520000to32530000andchr9_32720000to32730000,0.0,1.5,2TnG
chr2_11170000to11180000andchr2_11180000to11190000,11.5,8.5,2NTnG
chr2_11180000to11190000andchr2_11190000to11200000,9.5,8.0,2NTnG
chr11_48800000to48810000andchr11_48810000to48820000,9.0,5.0,2NTnG
chr13_112430000to112440000andchr13_112440000to112450000,9.0,3.5,2NTnG
chr11_87740000to87750000andchr11_87750000to87760000,9.0,5.0,2NTnG
chr9_44860000to44870000andchr9_44870000to44880000,8.5,6.0,2NTnG
chr15_27660000to27670000andchr15_27670000to27680000,8.5,5.5,2NTnG
chr8_81680000to81690000andchr8_81690000to81700000,8.5,4.0,2NTnG
chr13_112380000to112390000andchr13_112390000to112400000,8.0,6.0,2NTnG
chr13_24600000to24610000andchr13_24610000to24620000,8.0,9.0,2NTnG
chr6_124710000to124720000andchr6_124720000to124730000,7.5,0.0,2NTnG
chr11_30180000to30190000andchr11_30190000to30200000,7.5,5.5,2NTnG
chr8_25600000to25610000andchr8_25610000to25620000,7.5,5.5,2NTnG
chr5_105640000to105650000andchr5_105650000to105660000,7.5,5.5,2NTnG
chr8_84960000to84970000andchr8_84970000to84980000,7.5,7.0,2NTnG
chr1_52100000to52110000andchr1_52110000to52120000,7.0,8.0,2NTnG
chr5_64480000to64490000andchr5_64490000to64500000,7.0,4.5,2NTnG
chr11_32000000to32010000andchr11_32010000to32020000,7.0,2.5,2NTnG
chr11_117740000to117750000andchr11_117750000to117760000,7.0,6.5,2NTnG
chr6_87500000to87510000andchr6_87510000to87520000,7.0,4.5,2NTnG
chr13_43770000to43780000andchr13_43780000to43790000,7.0,6.5,2NTnG
chr13_112420000to112430000andchr13_112430000to112440000,7.0,7.0,2NTnG
chr1_193150000to193160000andchr1_193160000to193170000,7.0,6.5,2NTnG
chr6_129210000to129220000andchr6_129220000to129230000,7.0,7.0,2NTnG
chr10_80150000to80160000andchr10_80160000to80170000,7.0,3.0,2NTnG
chr5_31170000to31180000andchr5_31180000to31190000,7.0,6.0,2NTnG
chr9_107290000to107300000andchr9_107330000to107340000,7.0,6.0,2NTnG
chr7_101540000to101550000andchr7_101550000to101560000,7.0,5.0,2NTnG
chr7_127570000to127580000andchr7_127580000to127590000,7.0,3.0,2NTnG
chr12_73590000to73600000andchr12_73600000to73610000,6.5,4.0,2NTnG
chr3_95880000to95890000andchr3_95890000to95900000,6.5,4.0,2NTnG
chr11_34760000to34770000andchr11_34770000to34780000,6.5,4.0,2NTnG
chr2_173450000to173460000andchr2_173460000to173470000,6.5,3.5,2NTnG
chr11_96450000to96460000andchr11_96460000to96470000,6.5,1.5,2NTnG
chr9_44010000to44020000andchr9_44020000to44030000,6.5,3.0,2NTnG
chr4_130350000to130360000andchr4_130360000to130370000,6.5,7.5,2NTnG
chr11_79510000to79520000andchr11_79520000to79530000,6.5,3.0,2NTnG
chr11_46380000to46390000andchr11_46390000to46400000,6.5,7.5,2NTnG
chr19_57420000to57430000andchr19_57430000to57440000,6.5,6.0,2NTnG
chr4_114990000to115000000andchr4_115000000to115010000,6.5,3.0,2NTnG
chr11_87720000to87730000andchr11_87750000to87760000,6.5,4.5,2NTnG
chr16_31030000to31040000andchr16_31040000to31050000,6.5,4.5,2NTnG
chr7_29150000to29160000andchr7_29160000to29170000,6.5,3.0,2NTnG
chr15_78470000to78480000andchr15_78480000to78490000,6.5,4.5,2NTnG
chr8_111580000to111590000andchr8_111590000to111600000,6.0,5.0,2NTnG
chr11_98470000to98480000andchr11_98480000to98490000,6.0,4.5,2NTnG
chr11_86580000to86590000andchr11_86590000to86600000,6.0,7.5,2NTnG
chr7_74480000to74490000andchr7_74490000to74500000,6.0,5.0,2NTnG
chr7_98690000to98700000andchr7_98700000to98710000,6.0,3.5,2NTnG
chr15_100720000to100730000andchr15_100730000to100740000,6.0,4.0,2NTnG
chr2_167490000to167500000andchr2_167500000to167510000,6.0,5.0,2NTnG
chr2_52210000to52220000andchr2_52220000to52230000,6.0,3.5,2NTnG
chr2_30120000to30130000andchr2_30130000to30140000,6.0,0.0,2NTnG
chr2_29620000to29630000andchr2_29630000to29640000,6.0,7.0,2NTnG
chr2_25260000to25270000andchr2_25270000to25280000,6.0,4.5,2NTnG
chr9_67000000to67010000andchr9_67040000to67050000,6.0,3.5,2NTnG
chr13_112410000to112420000andchr13_112420000to112430000,6.0,6.5,2NTnG
chr11_116660000to116670000andchr11_116670000to116680000,6.0,2.5,2NTnG
chr11_34770000to34780000andchr11_34780000to34790000,6.0,6.5,2NTnG
chr17_46870000to46880000andchr17_46880000to46890000,6.0,4.0,2NTnG
chr7_110250000to110260000andchr7_110260000to110270000,6.0,4.5,2NTnG
chr1_46850000to46860000andchr1_46860000to46870000,6.0,2.5,2NTnG
chr4_126090000to126100000andchr4_126100000to126110000,6.0,6.5,2NTnG
chr7_28370000to28380000andchr7_28380000to28390000,6.0,5.5,2NTnG
chr9_107310000to107320000andchr9_107330000to107340000,6.0,6.5,2NTnG
chr5_122840000to122850000andchr5_122850000to122860000,6.0,2.5,2NTnG
chr6_129220000to129230000andchr6_129230000to129240000,6.0,4.5,2NTnG
chr10_118100000to118110000andchr10_118110000to118120000,5.5,2.0,2NTnG
chr8_126580000to126590000andchr8_126590000to126600000,5.5,2.0,2NTnG
chr4_62470000to62480000andchr4_62480000to62490000,5.5,2.5,2NTnG
chr10_128400000to128410000andchr10_128410000to128420000,5.5,2.0,2NTnG
chr9_65200000to65210000andchr9_65210000to65220000,5.5,7.5,2NTnG
chr9_32920000to32930000andchr9_32930000to32940000,5.5,5.0,2NTnG
chr1_182520000to182530000andchr1_182530000to182540000,5.5,4.0,2NTnG
chr1_164060000to164070000andchr1_164070000to164080000,5.5,6.0,2NTnG
chr7_127250000to127260000andchr7_127260000to127270000,5.5,2.0,2NTnG
chr2_119030000to119040000andchr2_119040000to119050000,5.5,4.0,2NTnG
chr19_11490000to11500000andchr19_11500000to11510000,5.5,1.5,2NTnG
chr4_11150000to11160000andchr4_11160000to11170000,5.5,2.0,2NTnG
chr6_113670000to113680000andchr6_113680000to113690000,5.5,3.5,2NTnG
chr15_78580000to78590000andchr15_78590000to78600000,5.5,2.5,2NTnG
chr3_52840000to52850000andchr3_52850000to52860000,5.5,4.0,2NTnG
chr19_53420000to53430000andchr19_53430000to53440000,5.5,1.5,2NTnG
chr3_101280000to101290000andchr3_101290000to101300000,5.5,6.5,2NTnG
chr19_7030000to7040000andchr19_7040000to7050000,5.5,5.0,2NTnG
chr9_107290000to107300000andchr9_107310000to107320000,5.5,3.5,2NTnG
chr8_84980000to84990000andchr8_84990000to85000000,5.5,5.5,2NTnG
chr11_87750000to87760000andchr11_87760000to87770000,5.5,4.0,2NTnG
chr8_104590000to104600000andchr8_104600000to104610000,5.5,2.5,2NTnG
chr4_108610000to108620000andchr4_108620000to108630000,5.5,4.5,2NTnG
chr11_77370000to77380000andchr11_77380000to77390000,5.5,3.5,2NTnG
chr13_51790000to51800000andchr13_51800000to51810000,5.5,2.5,2NTnG
chr1_43440000to43450000andchr1_43450000to43460000,5.5,3.5,2NTnG
chr1_80630000to80640000andchr1_80640000to80650000,5.5,5.5,2NTnG
chr1_60910000to60920000andchr1_60940000to60950000,5.5,3.5,2NTnG
chr14_40950000to40960000andchr14_40960000to40970000,5.0,2.5,2NTnG
chr4_117130000to117140000andchr4_117140000to117150000,5.0,3.5,2NTnG
chr7_19300000to19310000andchr7_19320000to19330000,5.0,1.5,2NTnG
chr4_135910000to135920000andchr4_135920000to135930000,5.0,6.0,2NTnG
chr13_101700000to101710000andchr13_101710000to101720000,5.0,3.0,2NTnG
chr4_11130000to11140000andchr4_11140000to11150000,5.0,6.0,2NTnG
chr6_48720000to48730000andchr6_48730000to48740000,5.0,4.5,2NTnG
chr8_111860000to111870000andchr8_111870000to111880000,5.0,3.5,2NTnG
chr7_28810000to28820000andchr7_28820000to28830000,5.0,2.5,2NTnG
chr2_3710000to3720000andchr2_3720000to3730000,5.0,5.5,2NTnG
chr15_101240000to101250000andchr15_101250000to101260000,5.0,6.5,2NTnG
chr2_120000000to120010000andchr2_120010000to120020000,5.0,2.5,2NTnG
chr8_91070000to91080000andchr8_91080000to91090000,5.0,3.0,2NTnG
chr19_8710000to8720000andchr19_8720000to8730000,5.0,2.0,2NTnG
chr9_62340000to62350000andchr9_62350000to62360000,5.0,5.5,2NTnG
chr3_63960000to63970000andchr3_63970000to63980000,5.0,4.5,2NTnG
chr12_86940000to86950000andchr12_86950000to86960000,5.0,4.5,2NTnG
chr8_88690000to88700000andchr8_88700000to88710000,5.0,2.5,2NTnG
chr15_6580000to6590000andchr15_6600000to6610000,5.0,4.0,2NTnG
chr15_27670000to27680000andchr15_27680000to27690000,5.0,5.0,2NTnG
chr4_128960000to128970000andchr4_128970000to128980000,5.0,6.0,2NTnG
chr13_45910000to45920000andchr13_45920000to45930000,5.0,3.0,2NTnG
chr10_78170000to78180000andchr10_78180000to78190000,5.0,3.0,2NTnG
chr1_65170000to65180000andchr1_65180000to65190000,5.0,3.5,2NTnG
chr6_28470000to28480000andchr6_28480000to28490000,5.0,1.5,2NTnG
chr8_126580000to126590000andchr8_126660000to126670000,5.0,0.0,2NTnG
chr11_86570000to86580000andchr11_86590000to86600000,5.0,6.0,2NTnG
chr14_64940000to64950000andchr14_64950000to64960000,5.0,4.5,2NTnG
chr4_130900000to130910000andchr4_130910000to130920000,5.0,5.0,2NTnG
chr8_128380000to128390000andchr8_128390000to128400000,5.0,2.5,2NTnG
chr2_30080000to30090000andchr2_30090000to30100000,5.0,4.5,2NTnG
chr12_71030000to71040000andchr12_71040000to71050000,5.0,6.5,2NTnG
chr11_4240000to4250000andchr11_4250000to4260000,5.0,5.0,2NTnG
chr3_89090000to89100000andchr3_89100000to89110000,5.0,2.5,2NTnG
chr8_31140000to31150000andchr8_31150000to31160000,5.0,2.0,2NTnG
chr11_96820000to96830000andchr11_96830000to96840000,5.0,2.0,2NTnG
chr7_127020000to127030000andchr7_127090000to127100000,5.0,2.0,2NTnG
chr14_27220000to27230000andchr14_27230000to27240000,5.0,4.5,2NTnG
chr13_112390000to112400000andchr13_112420000to112430000,5.0,0.0,2NTnG
chr19_6980000to6990000andchr19_6990000to7000000,5.0,6.5,2NTnG
chr8_84970000to84980000andchr8_84990000to85000000,5.0,4.0,2NTnG
chr16_95860000to95870000andchr16_95870000to95880000,5.0,2.5,2NTnG
chr1_40460000to40470000andchr1_40470000to40480000,5.0,3.5,2NTnG
chr2_164070000to164080000andchr2_164080000to164090000,5.0,11.0,2NTnG
chr8_25600000to25610000andchr8_25620000to25630000,5.0,3.0,2NTnG
chr12_111560000to111570000andchr12_111570000to111580000,5.0,3.0,2NTnG
chr1_138120000to138130000andchr1_138130000to138140000,5.0,7.5,2NTnG
chr10_19060000to19070000andchr10_19070000to19080000,5.0,4.5,2NTnG
chr1_53770000to53780000andchr1_53780000to53790000,5.0,3.5,2NTnG
chr7_3640000to3650000andchr7_3660000to3670000,5.0,2.5,2NTnG
chr11_70640000to70650000andchr11_70660000to70670000,5.0,2.5,2NTnG
chr15_11390000to11400000andchr15_11400000to11410000,5.0,2.5,2NTnG
chr3_137850000to137860000andchr3_137860000to137870000,5.0,4.5,2NTnG
chr15_66820000to66830000andchr15_66850000to66860000,5.0,2.5,2NTnG
chr15_66800000to66810000andchr15_66850000to66860000,5.0,5.0,2NTnG
chr5_129880000to129890000andchr5_129890000to129900000,5.0,2.5,2NTnG
chr6_70790000to70800000andchr6_70800000to70810000,5.0,4.0,2NTnG
chr15_11990000to12000000andchr15_12000000to12010000,5.0,4.0,2NTnG
chr10_19000000to19010000andchr10_19010000to19020000,5.0,3.5,2NTnG
chr11_101110000to101120000andchr11_101120000to101130000,5.0,4.0,2NTnG
chr11_52260000to52270000andchr11_52270000to52280000,5.0,4.5,2NTnG
chr2_61560000to61570000andchr2_61570000to61580000,4.5,3.0,2NTnG
chr12_21450000to21460000andchr12_21460000to21470000,4.5,2.5,2NTnG
chr1_40380000to40390000andchr1_40390000to40400000,4.5,0.0,2NTnG
chr8_84960000to84970000andchr8_84990000to85000000,4.5,2.0,2NTnG
chr18_82500000to82510000andchr18_82510000to82520000,4.5,3.5,2NTnG
chr1_138130000to138140000andchr1_138140000to138150000,4.5,7.0,2NTnG
chr19_8810000to8820000andchr19_8820000to8830000,4.5,3.5,2NTnG
chr6_122290000to122300000andchr6_122300000to122310000,4.5,2.5,2NTnG
chr8_122990000to123000000andchr8_123010000to123020000,4.5,2.0,2NTnG
chr5_100500000to100510000andchr5_100510000to100520000,4.5,3.5,2NTnG
chr11_115510000to115520000andchr11_115530000to115540000,4.5,6.0,2NTnG
chr11_86570000to86580000andchr11_86580000to86590000,4.5,7.0,2NTnG
chr7_122960000to122970000andchr7_122970000to122980000,4.5,0.0,2NTnG
chr16_43690000to43700000andchr16_43700000to43710000,4.5,4.5,2NTnG
chr5_105680000to105690000andchr5_105690000to105700000,4.5,2.5,2NTnG
chr7_73580000to73590000andchr7_73600000to73610000,4.5,2.0,2NTnG
chr11_106530000to106540000andchr11_106540000to106550000,4.5,2.5,2NTnG
chr19_11370000to11380000andchr19_11380000to11390000,4.5,5.0,2NTnG
chr6_83400000to83410000andchr6_83410000to83420000,4.5,6.0,2NTnG
chr15_9520000to9530000andchr15_9530000to9540000,4.5,3.0,2NTnG
chr3_52630000to52640000andchr3_52640000to52650000,4.5,1.5,2NTnG
chr11_120080000to120090000andchr11_120090000to120100000,4.5,3.5,2NTnG
chr4_63380000to63390000andchr4_63390000to63400000,4.5,4.0,2NTnG
chr6_106790000to106800000andchr6_106800000to106810000,4.5,4.0,2NTnG
chr18_31750000to31760000andchr18_31780000to31790000,4.5,1.5,2NTnG
chr11_90230000to90240000andchr11_90240000to90250000,4.5,3.5,2NTnG
chr10_20310000to20320000andchr10_20340000to20350000,4.5,4.0,2NTnG
chr9_44870000to44880000andchr9_44880000to44890000,4.5,5.0,2NTnG
chr1_138140000to138150000andchr1_138160000to138170000,4.5,6.5,2NTnG
chr9_108490000to108500000andchr9_108500000to108510000,4.5,4.5,2NTnG
chr13_95710000to95720000andchr13_95720000to95730000,4.5,3.5,2NTnG
chr4_136070000to136080000andchr4_136080000to136090000,4.5,4.5,2NTnG
chr19_34200000to34210000andchr19_34210000to34220000,4.5,4.5,2NTnG
chr5_137590000to137600000andchr5_137600000to137610000,4.5,4.0,2NTnG
chr17_29970000to29980000andchr17_29980000to29990000,4.5,2.0,2NTnG
chr1_182490000to182500000andchr1_182520000to182530000,4.5,3.5,2NTnG
chr8_75030000to75040000andchr8_75040000to75050000,4.5,3.5,2NTnG
chr7_105390000to105400000andchr7_105400000to105410000,4.5,2.0,2NTnG
chr13_21160000to21170000andchr13_21170000to21180000,4.5,4.0,2NTnG
chr4_148590000to148600000andchr4_148600000to148610000,4.5,6.0,2NTnG
chr19_42090000to42100000andchr19_42120000to42130000,4.5,0.0,2NTnG
chr15_81840000to81850000andchr15_81850000to81860000,4.5,3.0,2NTnG
chr18_37960000to37970000andchr18_37970000to37980000,4.5,4.0,2NTnG
chr5_138610000to138620000andchr5_138620000to138630000,4.5,2.0,2NTnG
chr8_46730000to46740000andchr8_46740000to46750000,4.5,3.5,2NTnG
chr11_48810000to48820000andchr11_48850000to48860000,4.5,2.5,2NTnG
chr5_138160000to138170000andchr5_138170000to138180000,4.5,4.5,2NTnG
chr4_150910000to150920000andchr4_150920000to150930000,4.5,2.5,2NTnG
chr12_98260000to98270000andchr12_98270000to98280000,4.5,2.5,2NTnG
chr18_38340000to38350000andchr18_38350000to38360000,4.5,3.0,2NTnG
chr5_73260000to73270000andchr5_73280000to73290000,4.5,3.0,2NTnG
chr4_132030000to132040000andchr4_132040000to132050000,4.5,5.5,2NTnG
chr11_61620000to61630000andchr11_61630000to61640000,4.5,3.0,2NTnG
chr2_28510000to28520000andchr2_28520000to28530000,4.5,2.0,2NTnG
chr9_108550000to108560000andchr9_108560000to108570000,4.5,4.0,2NTnG
chr11_52260000to52270000andchr11_52290000to52300000,4.5,2.0,2NTnG
chr2_25530000to25540000andchr2_25540000to25550000,4.5,2.5,2NTnG
chr7_30090000to30100000andchr7_30100000to30110000,4.5,4.5,2NTnG
chr13_95690000to95700000andchr13_95710000to95720000,4.5,1.5,2NTnG
chr2_25520000to25530000andchr2_25530000to25540000,4.5,3.0,2NTnG
chr5_122640000to122650000andchr5_122650000to122660000,4.5,4.0,2NTnG
chr1_55020000to55030000andchr1_55050000to55060000,4.5,2.0,2NTnG
chr1_36290000to36300000andchr1_36300000to36310000,4.5,3.5,2NTnG
chr7_67630000to67640000andchr7_67640000to67650000,4.5,4.0,2NTnG
chr1_171770000to171780000andchr1_171780000to171790000,4.5,4.0,2NTnG
chr13_23540000to23550000andchr13_23550000to23560000,4.5,4.0,2NTnG
chr11_102280000to102290000andchr11_102290000to102300000,4.5,3.0,2NTnG
chr18_68180000to68190000andchr18_68190000to68200000,4.5,4.0,2NTnG
chr14_64730000to64740000andchr14_64740000to64750000,4.0,1.5,2NTnG
chr15_6600000to6610000andchr15_6620000to6630000,4.0,1.5,2NTnG
chr13_23530000to23540000andchr13_23550000to23560000,4.0,4.5,2NTnG
chr15_61430000to61440000andchr15_61440000to61450000,4.0,6.0,2NTnG
chr14_54220000to54230000andchr14_54230000to54240000,4.0,2.0,2NTnG
chr11_115510000to115520000andchr11_115560000to115570000,4.0,0.0,2NTnG
chr11_95300000to95310000andchr11_95310000to95320000,4.0,3.0,2NTnG
chr7_73520000to73530000andchr7_73530000to73540000,4.0,5.5,2NTnG
chr3_103020000to103030000andchr3_103050000to103060000,4.0,2.5,2NTnG
chr3_21950000to21960000andchr3_21980000to21990000,4.0,5.5,2NTnG
chr8_81700000to81710000andchr8_81760000to81770000,4.0,2.5,2NTnG
chr3_89190000to89200000andchr3_89200000to89210000,4.0,1.5,2NTnG
chr5_122130000to122140000andchr5_122280000to122290000,4.0,1.5,2NTnG
chr15_85030000to85040000andchr15_85040000to85050000,4.0,2.0,2NTnG
chr6_31200000to31210000andchr6_31210000to31220000,4.0,4.5,2NTnG
chr17_84320000to84330000andchr17_84330000to84340000,4.0,2.5,2NTnG
chr9_114420000to114430000andchr9_114450000to114460000,4.0,0.0,2NTnG
chr15_81850000to81860000andchr15_81860000to81870000,4.0,2.0,2NTnG
chr5_31190000to31200000andchr5_31200000to31210000,4.0,3.5,2NTnG
chr15_97570000to97580000andchr15_97580000to97590000,4.0,6.5,2NTnG
chr7_143820000to143830000andchr7_143830000to143840000,4.0,2.0,2NTnG
chr9_106420000to106430000andchr9_106430000to106440000,4.0,3.5,2NTnG
chr6_35530000to35540000andchr6_35540000to35550000,4.0,1.5,2NTnG
chr4_11140000to11150000andchr4_11150000to11160000,4.0,5.0,2NTnG
chr3_101270000to101280000andchr3_101280000to101290000,4.0,4.0,2NTnG
chr3_51400000to51410000andchr3_51410000to51420000,4.0,3.5,2NTnG
chr8_81690000to81700000andchr8_81700000to81710000,4.0,3.0,2NTnG
chr8_70830000to70840000andchr8_70840000to70850000,4.0,2.0,2NTnG
chr11_103160000to103170000andchr11_103170000to103180000,4.0,4.0,2NTnG
chr6_31210000to31220000andchr6_31220000to31230000,4.0,3.0,2NTnG
chr1_134060000to134070000andchr1_134090000to134100000,4.0,4.5,2NTnG
chr15_27660000to27670000andchr15_27730000to27740000,4.0,2.0,2NTnG
chr13_112420000to112430000andchr13_112440000to112450000,4.0,3.0,2NTnG
chr15_27670000to27680000andchr15_27710000to27720000,4.0,3.0,2NTnG
chr2_13750000to13760000andchr2_13760000to13770000,4.0,3.0,2NTnG
chr13_99340000to99350000andchr13_99350000to99360000,4.0,5.0,2NTnG
chr12_84220000to84230000andchr12_84240000to84250000,4.0,0.0,2NTnG
chr19_32180000to32190000andchr19_32190000to32200000,4.0,1.5,2NTnG
chr6_124820000to124830000andchr6_124830000to124840000,4.0,2.5,2NTnG
chr6_122810000to122820000andchr6_122820000to122830000,4.0,2.5,2NTnG
chr14_66190000to66200000andchr14_66280000to66290000,4.0,2.0,2NTnG
chr2_34770000to34780000andchr2_34790000to34800000,4.0,0.0,2NTnG
chr12_73710000to73720000andchr12_73720000to73730000,4.0,2.0,2NTnG
chr7_110220000to110230000andchr7_110250000to110260000,4.0,2.5,2NTnG
chr16_33700000to33710000andchr16_33710000to33720000,4.0,0.0,2NTnG
chr2_53190000to53200000andchr2_53200000to53210000,4.0,3.0,2NTnG
chr17_56990000to57000000andchr17_57030000to57040000,4.0,0.0,2NTnG
chr9_122180000to122190000andchr9_122190000to122200000,4.0,3.5,2NTnG
chr2_9680000to9690000andchr2_9690000to9700000,4.0,5.5,2NTnG
